Platform,dummy_HBO,id,title,exclusive,type,dummy_movie,description,release_year,L10Y_vs_old,L10Y_vs_old dummy,release_year_segments,age_certification,age_certification_segments,dummy_mature,dummy_NR,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
Netflix,0,tm167944,Berserk: The Golden Age Arc III - The Advent,exclusive,MOVIE,1,"A year has passed since Guts parted ways with the Band of the Hawks. Meanwhile, his former mercenary group is plotting a rescue mission to save an imprisoned Griffith.",2013,L10Y,1,New,NC-17,mature,1,0,110,"['drama', 'fantasy', 'animation', 'action', 'romance', 'horror']",['JP'],,tt2358913,7.8,10173,41.099,7.6
Netflix,0,ts34066,Mako: Island of Secrets,exclusive,SHOW,0,"Real-life mermaids, Sirena, Nixie and Lyla are part of a mermaid pod, which lives in the waters of Mako Island. As young members of the pod, it is their job to protect the Moon Pool and guard it from trespassers. But on the night of a full moon, the mischievous mermaid girls neglect their duties. Sixteen-year-old land-dweller Zac enters the Moon Pool and forms a special connection with Mako.

Zac is given a fish-like tail and amazing powers. The mermaid pod is forced to leave Mako, leaving behind the three mermaid girls, cast out of the pod. They know there's only one way they will be allowed to rejoin the pod: They must get legs, venture onto land and take back Zac's powers – or risk being outcasts forever.",2013,L10Y,1,New,TV-G,youth,0,0,25,"['scifi', 'action', 'family', 'fantasy', 'romance', 'comedy', 'drama']",['AU'],4,tt2548214,6.7,4015,41.013,7.6
HBO Max,1,ts19648,ER,exclusive,SHOW,0,ER explores the inner workings of an urban teaching hospital and the critical issues faced by the dedicated physicians and staff of its overburdened emergency room.,1994,Old,0,New,TV-14,mature,1,0,49,"['drama', 'documentation', 'romance']",['US'],15,tt0108757,8.1,7,40.975,7.8
Netflix,0,tm84618,Taxi Driver,exclusive,MOVIE,1,A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feed his urge for violent action.,1976,Old,0,Middle,R,mature,1,0,114,"['drama', 'crime']",['US'],,tt0075314,8.2,808582,40.965,8.179
HBO Max,1,ts87692,Gentleman Jack,exclusive,SHOW,0,"Halifax, West Yorkshire, England, 1832. Anne Lister attempts to revitalize her inherited home, Shibden Hall. Most notably for the time period, a part of her plan is to help the fate of her own family - by taking a wife.",2019,L10Y,1,New,TV-MA,mature,1,0,59,"['drama', 'history', 'romance']","['GB', 'US']",2,tt7211618,8.2,11919,40.896,8.1
Netflix,0,tm34846,Bleach the Movie: Fade to Black,exclusive,MOVIE,1,"A mysterious reiatsu (spiritual particle) explosion occurs in the center of Seireitei in Soul Society, causing it to be destroyed. At the exact same time, a major change overwhelms Kuchiki Rukia, which leaves her losing something important inside. Urahara Kisuke sends Kurosaki Ichigo to Soul Society to investigate the disturbance. Upon reaching Seireitei, Ichigo is attacked by his ally shinigamis.",2008,Old,0,New,PG-13,mature,1,0,94,"['fantasy', 'action', 'drama', 'animation']",['JP'],,tt1339302,7.1,2207,40.732,7
HBO Max,1,ts22171,Pride and Prejudice,exclusive,SHOW,0,"Set in England in the early 19th century, Pride and Prejudice tells the story of Mr and Mrs Bennet's five unmarried daughters after the rich and eligible Mr Bingley and his status-conscious friend, Mr Darcy, have moved into their neighbourhood. While Bingley takes an immediate liking to the eldest Bennet daughter, Jane, Darcy has difficulty adapting to local society and repeatedly clashes with the second-eldest Bennet daughter, Elizabeth.",1995,Old,0,New,TV-14,mature,1,0,52,"['drama', 'romance']",['GB'],1,tt0112130,8.9,82988,40.669,8.2
Netflix,0,ts55365,The Haunted House,exclusive,SHOW,0,"With help from a 102-year-old goblin dwelling beneath their haunted apartment building, two siblings deal with ghosts and take on spooky mysteries.",2016,L10Y,1,New,TV-PG,youth,0,0,25,"['thriller', 'horror', 'animation', 'comedy', 'drama', 'family', 'fantasy']",['KR'],7,tt9518312,8.3,83,40.65,10
Netflix,0,ts300391,Clickbait,exclusive,SHOW,0,"When family man Nick Brewer is abducted in a crime with a sinister online twist, those closest to him race to uncover who is behind it and why.",2021,L10Y,1,New,TV-MA,mature,1,0,46,"['crime', 'drama', 'thriller']","['US', 'AU']",1,tt10888878,7.2,51476,40.623,7.644
HBO Max,1,ts41275,Big Little Lies,exclusive,SHOW,0,The tale of three mothers of first graders whose apparently perfect lives unravel to the point of murder.,2017,L10Y,1,New,TV-MA,mature,1,0,50,"['drama', 'crime']",['US'],2,tt3920596,8.5,184531,40.623,7.9
Netflix,0,tm97070,Life As We Know It,exclusive,MOVIE,1,"After a distastrous first date for caterer Holly and network sports director Messer, all they have is common is a dislike for each other and their love for their goddaughter Sophie. But when they suddenly become all Sophie has in this world, Holly and Messer must set their differences aside. Juggling careers and social calendars, they'll have to find common ground while living under the same roof.",2010,Old,0,New,PG-13,mature,1,0,114,"['comedy', 'romance', 'drama']",['US'],,tt1055292,6.5,131623,40.534,6.9
Netflix,0,ts41956,Designated Survivor,exclusive,SHOW,0,"Tom Kirkman, a low-level cabinet member is suddenly appointed President of the United States after a catastrophic attack during the State of the Union kills everyone above him in the Presidential line of succession.",2016,L10Y,1,New,TV-14,mature,1,0,44,"['war', 'action', 'drama', 'thriller']",['US'],3,tt5296406,7.5,89300,40.372,7.2
Netflix,0,ts80600,Luis Miguel: The Series,exclusive,SHOW,0,"The series dramatizes the life story of Mexican superstar singer Luis Miguel, who has captivated audiences in Latin America and beyond for decades.",2018,L10Y,1,New,TV-14,mature,1,0,52,"['drama', 'history', 'music', 'romance']",['MX'],3,tt8045690,8,4556,40.288,8
Netflix,0,ts297483,Hometown Cha-Cha-Cha,exclusive,SHOW,0,"A big-city dentist opens up a practice in a close-knit seaside village, home to a charming jack-of-all-trades who is her polar opposite in every way.",2021,L10Y,1,New,TV-14,mature,1,0,78,"['comedy', 'romance', 'drama']",['KR'],1,tt14518756,8.4,11060,40.151,8.2
HBO Max,1,ts215918,Made For Love,exclusive,SHOW,0,"Thirty-something Hazel Green tries to escape a suffocating marriage — until she realizes her tech billionaire husband has implanted a revolutionary tracking device, the Made for Love, in her brain.",2021,L10Y,1,New,TV-MA,mature,1,0,29,"['scifi', 'thriller', 'comedy', 'drama']",['US'],2,tt7808566,6.8,8899,40.003,7
Netflix,0,ts108621,Sky Rojo,exclusive,SHOW,0,"Coral, Wendy, and Gina go on the run in search of freedom while being chased by Romeo, their pimp from Las Novias Club, and his henchmen, Moises and Christian.",2021,L10Y,1,New,TV-MA,mature,1,0,27,"['drama', 'thriller', 'action', 'crime']",['ES'],3,tt8690776,6.5,8706,39.825,7.7
HBO Max,1,tm996853,Dear Evan Hansen,exclusive,MOVIE,1,"Evan Hansen, a high schooler with social anxiety, unintentionally gets caught up in a lie after the family of a classmate who committed suicide mistakes one of Hansen’s letters for their son’s suicide note.",2021,L10Y,1,New,PG-13,mature,1,0,137,['drama'],"['CN', 'US']",,tt9357050,6.1,11825,39.824,6.4
Netflix,0,ts310081,Two Summers,exclusive,SHOW,0,"A group of friends get together thirty years after one of the group members died in a tragic accident while they were on holiday. What was supposed to be a relaxing vacation changes rapidly into a nightmare, when some of the friends are blackmailed with footage from that terrible week three decades ago.",2022,L10Y,1,New,TV-PG,youth,0,0,46,"['thriller', 'drama']",['BE'],1,tt13018574,6.8,2867,39.696,6.75
HBO Max,1,tm110638,28 Days Later,exclusive,MOVIE,1,"Twenty-eight days after a killer virus was accidentally unleashed from a British research facility, a small group of London survivors are caught in a desperate struggle to protect themselves from the infected. Carried by animals and humans, the virus turns those it infects into homicidal maniacs -- and it's absolutely impossible to contain.",2002,Old,0,New,R,mature,1,0,113,"['thriller', 'drama', 'horror', 'scifi', 'action']",['GB'],,tt0289043,7.5,404418,39.664,7.2
HBO Max,1,ts13170,The Batman,exclusive,SHOW,0,"Bruce Wayne, The Batman -- billionaire by day, crime fighter by night -- joined on occasion by Robin and Batgirl.",2004,Old,0,New,TV-Y7,youth,0,0,22,"['scifi', 'thriller', 'action', 'crime', 'drama', 'fantasy', 'family', 'animation']",['US'],5,tt0398417,7.3,11636,39.47,7.8
Netflix,0,tm1129394,The Princess Switch 3: Romancing the Star,exclusive,MOVIE,1,"A priceless relic is stolen from identical royals Queen Margaret and Princess Stacy, who enlist the help of their sketchy look-alike cousin Fiona Pembroke to retrieve it.",2021,L10Y,1,New,PG,youth,0,0,106,"['comedy', 'romance', 'drama', 'family']",['US'],,tt14731142,5.5,5728,39.432,6.9
HBO Max,1,tm63441,Life of Pi,exclusive,MOVIE,1,"The story of an Indian boy named Pi, a zookeeper's son who finds himself in the company of a hyena, zebra, orangutan, and a Bengal tiger after a shipwreck sets them adrift in the Pacific Ocean.",2012,Old,0,New,PG,youth,0,0,127,"['drama', 'fantasy']","['GB', 'US', 'CA', 'TW']",,tt0454876,7.9,616811,39.339,7.4
Netflix,0,ts235655,Outer Banks,exclusive,SHOW,0,"A tight-knit group of teens unearths a long-buried secret, setting off a chain of illicit events that takes them on an adventure they'll never forget.",2020,L10Y,1,New,TV-MA,mature,1,0,49,"['thriller', 'action', 'drama', 'romance', 'crime']",['US'],2,tt10293938,7.5,45815,39.319,8.555
Netflix,0,tm168400,Empire State,exclusive,MOVIE,1,"After failing to get into the police academy, Chris Potamitis settles for a security guard job with an armoured truck company. After he makes the mistake of mentioning the company's lax security to his best friend, He's unwittingly drawn into an elaborate scheme to rob the abundant amounts of cash being stored on their premises—resulting in the largest cash heist in U.S.history.",2013,L10Y,1,New,R,mature,1,0,94,"['action', 'drama', 'crime', 'thriller', 'european']",['US'],,tt2171867,5.2,21538,39.273,5.4
HBO Max,1,ts20079,Over the Garden Wall,exclusive,SHOW,0,"Two brothers, Wirt and Greg, find themselves lost in the Unknown; a strange forest adrift in time. With the help of a wise old Woodsman and a foul-tempered bluebird named Beatrice, Wirt and Greg must travel across this strange land, in hope of finding their way home. Join them as they encounter surprises and obstacles on their journey through the wood.",2014,L10Y,1,New,TV-PG,youth,0,0,11,"['family', 'comedy', 'thriller', 'scifi', 'animation', 'fantasy', 'horror', 'action', 'drama']",['US'],1,tt3718778,8.8,51729,39.166,8.5
Netflix,0,ts87248,In the Dark,exclusive,SHOW,0,"Murphy is a flawed and irreverent woman who just happens to be blind and is the only “witness” to the murder of her drug-dealing friend, Tyson. When the police dismiss her story, she sets out with her dog, Pretzel, to find the killer while also managing her colorful dating life and the job she hates at Breaking Blind — the guide-dog school owned by her overprotective parents.",2019,L10Y,1,New,TV-14,mature,1,0,41,"['drama', 'comedy', 'action', 'crime', 'horror']",['US'],4,tt7772602,7.5,11409,39.136,7.9
HBO Max,1,tm187097,Mama,exclusive,MOVIE,1,"Guillermo del Toro presents Mama, a supernatural thriller that tells the haunting tale of two little girls who disappeared into the woods the day that their parents were killed. When they are rescued years later and begin a new life, they find that someone or something still wants to come tuck them in at night.",2013,L10Y,1,New,PG-13,mature,1,0,100,"['horror', 'drama', 'thriller', 'fantasy', 'european']","['CA', 'ES']",,tt2023587,6.2,178420,39.116,6.2
Netflix,0,ts222864,Falling Into Your Smile,exclusive,SHOW,0,"Student Tong Yao makes two vows: to never be in a relationship with someone in the same field and to make up for the Chinese League of Legends. When Tong Yao earns her spot as the first formal female player in China's professional league, she catches the attention of an elite team captain. Facing doubts and inconveniences, she meets each challenge with her own persistence and her teammates' support. After much effort, what will become of her vows? Will she stand on the world stage to make up for six years of regret? Will she avoid a romantic entanglement within the e-sports world?  Adapted from the novel You're Beautiful When You Smile by Qing Mei.",2021,L10Y,1,New,TV-14,mature,1,0,44,"['drama', 'comedy', 'romance']",['CN'],1,tt11290960,8.4,2267,39.102,9
Netflix,0,ts75620,Black,exclusive,SHOW,0,"A Grim Reaper, a detective and a woman who foresees death get ensnared in matters of life and death -- and dark mysteries of twenty years past.",2017,L10Y,1,New,TV-MA,mature,1,0,78,"['scifi', 'drama', 'action', 'thriller', 'horror', 'crime', 'fantasy', 'romance']",['KR'],2,tt7298976,7.9,3891,39.083,8
Netflix,0,ts304058,Ganglands,exclusive,SHOW,0,"Mehdi, a qualified robber, and Liana, an apprentice thief, get involved in a turf war between drug dealers, and have to collaborate in order to save their loved ones.",2021,L10Y,1,New,TV-MA,mature,1,0,46,"['action', 'crime', 'drama', 'thriller']",['FR'],1,tt13278100,7,2553,39.002,7.3
Netflix,0,ts293103,Juanpis González - The Series,exclusive,SHOW,0,"The most spoiled man in the country has to overcome a difficult test imposed by his grandfather to inherit the family fortune, through which he finds what he believes is his vocation: To do politics but to the no always lawful way of it.",2022,L10Y,1,New,TV-MA,mature,1,0,25,"['comedy', 'drama']",['CO'],1,tt14494894,6.8,348,39.001,7.6
Netflix,0,tm65142,One Piece: The Desert Princess and the Pirates: Adventure in Alabasta,exclusive,MOVIE,1,"A re-telling of the Alabaster Arc from One Piece (TV). Luffy and his crew come to rescue a land in the midst of a civil war, due to a powerful devil fruit user.",2007,Old,0,New,PG-13,mature,1,0,89,"['comedy', 'drama', 'animation', 'action']",['JP'],,tt1037116,6.9,1660,38.807,6.7
Netflix,0,tm459512,To All the Boys: P.S. I Still Love You,exclusive,MOVIE,1,Lara Jean and Peter have just taken their romance from pretend to officially real when another recipient of one of her love letters enters the picture.,2020,L10Y,1,New,PG-13,mature,1,0,102,"['romance', 'comedy', 'drama']",['US'],,tt9354842,6,37471,38.468,6.898
HBO Max,1,tm121566,How to Be Single,exclusive,MOVIE,1,"New York City is full of lonely hearts seeking the right match, and what Alice, Robin, Lucy, Meg, Tom and David all have in common is the need to learn how to be single in a world filled with ever-evolving definitions of love.",2016,L10Y,1,New,R,mature,1,0,110,"['comedy', 'drama', 'romance']",['US'],,tt1292566,6,87190,38.248,6.2
Netflix,0,ts84243,Baby,exclusive,SHOW,0,"Fed up with their families and classmates, two teen girls from a wealthy part of Rome are drawn to the city's underworld and start leading double lives.",2018,L10Y,1,New,TV-MA,mature,1,0,45,['drama'],['IT'],3,tt7645192,6.8,11202,38.201,8
Netflix,0,tm230551,Ip Man 3,exclusive,MOVIE,1,"When a band of brutal gangsters led by a crooked property developer make a play to take over the city, Master Ip is forced to take a stand.",2015,L10Y,1,New,PG-13,mature,1,0,105,"['action', 'drama', 'history']","['HK', 'CN']",,tt2888046,7,54977,38.051,7
Netflix,0,ts35554,Scream: The TV Series,exclusive,SHOW,0,"What starts as a YouTube video going viral, soon leads to problems for the teenagers of Lakewood and serves as the catalyst for a murder that opens up a window to the town's troubled past. Everyone has secrets. Everyone tells lies. Everyone is fair game.",2015,L10Y,1,New,TV-14,mature,1,0,43,"['thriller', 'drama', 'crime', 'horror', 'comedy']",['US'],3,tt3921180,7.1,40676,38.018,6.9
Netflix,0,ts246073,Tribes of Europa,exclusive,SHOW,0,"2074. In the wake of a mysterious global disaster, war rages between the Tribes that have emerged from the wreckage of Europe. Three siblings from the peaceful Origine tribe are separated and forced to forge their own paths in an action-packed fight for the future of this new Europa.",2021,L10Y,1,New,TV-MA,mature,1,0,47,"['scifi', 'drama', 'action', 'fantasy']",['DE'],1,tt9184982,6.7,12043,37.998,7.179
Netflix,0,ts32186,Sonic X,exclusive,SHOW,0,Sonic and his friends team up with 12 year old Christopher to collect all the Chaos Emeralds and defeat the evil Dr. Eggman.,2003,Old,0,New,TV-Y7,youth,0,0,21,"['family', 'animation', 'action', 'comedy', 'drama', 'thriller', 'fantasy', 'scifi']",['JP'],3,tt0367413,6.2,4709,37.945,7.5
HBO Max,1,ts20926,Lois & Clark: The New Adventures of Superman,exclusive,SHOW,0,"A much more lavish version of the popular Superman television series which had first aired forty years earlier, Lois & Clark focused more on the Man of Steel's early adult years in Metropolis. With the unknowing help of Lois Lane, Clark Kent created Superman there in Metropolis after finding work at the world-famous Daily Planet newspaper, where he meets fellow reporter Lois Lane.",1993,Old,0,New,TV-PG,youth,0,0,46,"['scifi', 'comedy', 'drama', 'romance']",['US'],4,tt0106057,6.7,23896,37.929,7.1
Netflix,0,ts42405,Mindhunter,exclusive,SHOW,0,An agent in the FBI's Elite Serial Crime Unit develops profiling techniques as he pursues notorious serial killers and rapists.,2017,L10Y,1,New,TV-MA,mature,1,0,53,"['drama', 'crime', 'thriller']",['US'],2,tt5290382,8.6,261429,37.904,8
Netflix,0,ts246072,Barbarians,exclusive,SHOW,0,"Three people's fates are interwoven in the Battle of the Teutoburg Forest in 9 A.D., during which Germanic warriors halt the spread of the Roman Empire.",2020,L10Y,1,New,TV-MA,mature,1,0,47,"['drama', 'action', 'history']",['DE'],1,tt9184986,7.2,23709,37.819,7.396
Netflix,0,ts42120,Travelers,exclusive,SHOW,0,"Hundreds of years from now, the last surviving humans discover the means of sending consciousness back through time, directly into people in the 21st century. These ""travelers"" assume the lives of seemingly random people, while secretly working as teams to perform missions in order to save humanity from a terrible future.",2016,L10Y,1,New,TV-MA,mature,1,0,45,"['scifi', 'thriller', 'drama']",['CA'],3,tt5651844,8,55485,37.756,7.6
Netflix,0,ts20336,Velvet,exclusive,SHOW,0,"In 1950s Spain, the heir to a fashion house romances a beautiful seamstress who works for the company, despite the objections of his family.",2014,L10Y,1,New,TV-14,mature,1,0,57,"['drama', 'romance', 'thriller', 'action', 'crime', 'european']",['ES'],4,tt2955402,8.1,6115,37.631,6.1
Netflix,0,ts56969,Atypical,exclusive,SHOW,0,"Sam, an 18-year-old on the autism spectrum, takes a funny, yet painful, journey of self-discovery for love and independence and upends his family.",2017,L10Y,1,New,TV-14,mature,1,0,31,"['comedy', 'drama']",['US'],4,tt6315640,8.3,81643,37.513,8.3
HBO Max,1,ts13510,Batman Beyond,exclusive,SHOW,0,"As new villains overrun Gotham City of the future, the aging Bruce Wayne hangs up the cape of the once invincible Batman. But when troubled teenager Terry McGinnis stumbles upon the Dark Knight's secret, a new alliance is forged. And a triumphant new Batman is born.",1999,Old,0,New,TV-Y7,youth,0,0,22,"['action', 'scifi', 'crime', 'drama', 'thriller', 'animation']",['US'],3,tt0147746,6.6,160,37.368,8.2
Netflix,0,tm1159301,Forgive Us Our Trespasses,exclusive,MOVIE,1,"In 1939 Germany, a disabled farm boy is pursued by Nazi soldiers after Hitler enacts Aktion T4; a program to euthanize people with disabilities.",2022,L10Y,1,New,PG-13,mature,1,0,13,"['war', 'drama']",['US'],,tt17162524,6.5,,37.229,6.3
Netflix,0,ts76865,Devilman Crybaby,exclusive,SHOW,0,"Akira Fudo learns from his best friend Ryo Asuka that demons will revive and reclaim the world from humans. With humans hopeless against this threat, Ryo suggests combining with a demon. With this, Akira becomes Devilman, a being with the power of demon but with a human heart.",2018,L10Y,1,New,TV-MA,mature,1,0,25,"['animation', 'action', 'scifi', 'drama', 'fantasy', 'horror']",['JP'],1,tt6660498,7.6,19465,37.228,7.887
Netflix,0,ts687,The 4400,exclusive,SHOW,0,"4400 centers on the return of 4400 people who, previously presumed dead or reported missing, reappear on Earth. Though they have not aged physically, some of them seem to have deeper alterations ranging from superhuman strength to an unexplained healing touch. A government agency is formed to track the 4400 people after one of them commits a murder.",2004,Old,0,New,TV-14,mature,1,0,44,"['drama', 'scifi', 'thriller']",['US'],4,tt0389564,7.3,45249,37.169,7.2
HBO Max,1,tm82467,Sweeney Todd: The Demon Barber of Fleet Street,exclusive,MOVIE,1,"The infamous story of Benjamin Barker, a.k.a Sweeney Todd, who sets up a barber shop down in London which is the basis for a sinister partnership with his fellow tenant, Mrs. Lovett. Based on the hit Broadway musical.",2007,Old,0,New,R,mature,1,0,116,"['horror', 'drama', 'thriller']","['GB', 'US']",,tt0408236,7.3,361849,36.887,7.2
Netflix,0,ts21580,Longmire,exclusive,SHOW,0,A Wyoming sheriff rebuilds his life and career following the death of his wife. Based on the “Walt Longmire” series of mystery novels written by best-selling author Craig Johnson.,2012,Old,0,New,TV-14,mature,1,0,53,"['drama', 'western', 'crime', 'action']",['US'],6,tt1836037,8.3,35021,36.854,7.8
HBO Max,1,ts269281,Kung Fu,exclusive,SHOW,0,"A quarter-life crisis causes a young Chinese-American woman to drop out of college and go on a life-changing journey to an isolated monastery in China. But when she returns to find her hometown overrun with crime and corruption, she uses her martial arts skills and Shaolin values to protect her community and bring criminals to justice…all while searching for the assassin who killed her Shaolin mentor and is now targeting her.",2021,L10Y,1,New,TV-14,mature,1,0,41,"['action', 'drama']",['US'],2,tt7475590,5.3,3649,36.727,7.9
Netflix,0,ts223240,Itaewon Class,exclusive,SHOW,0,"In a colorful Seoul neighborhood, an ex-con and his friends fight a mighty foe to make their ambitious dreams for their street bar a reality.",2020,L10Y,1,New,TV-MA,mature,1,0,70,"['drama', 'romance']",['KR'],1,tt11239552,8.2,12780,36.591,8.5
Netflix,0,ts104168,El Dragón: Return of a Warrior,exclusive,SHOW,0,"After the murder of his parents when he was a little kid, Mexican Miguel Garza is sent away to Japan. 20 years later, he has to go back to his home country as the new heir of his family's cartel.",2019,L10Y,1,New,TV-MA,mature,1,0,45,"['action', 'drama']",['US'],2,tt9281190,6.8,1872,36.514,7.4
Netflix,0,tm133767,Love Actually,exclusive,MOVIE,1,"'Love Actually' follows the lives of eight very different couples dealing with their love lives, in various loosely and interrelated tales, all set during a frantic month before Christmas in London, England.",2003,Old,0,New,R,mature,1,0,135,"['drama', 'comedy', 'romance']","['GB', 'US']",,tt0314331,7.6,476101,36.484,7.1
HBO Max,1,tm985549,Locked Down,exclusive,MOVIE,1,"During a COVID-19 lockdown, sparring couple Linda and Paxton call a truce to attempt a high-risk jewellery heist at one of the world's most exclusive department stores, Harrods.",2021,L10Y,1,New,R,mature,1,0,118,"['comedy', 'drama', 'romance', 'crime', 'documentation']","['GB', 'US']",,tt13061914,5.2,11558,36.434,5.4
Netflix,0,ts21740,Black Butler,exclusive,SHOW,0,"In Victorian-era London, on the night of Ciel Phantomhive's tenth birthday a fire destroyed his manor and killed both of his parents. In a moment of death Ceil strikes a deal with a demon, his soul in exchange for revenge. This demon becomes his butler and calls himself by name of Sebastian Michaelis, to protect and serve Ciel until the deal has been completed. One month after the fire Ciel returns from being missing, with his new butler Sebastian. Ceil is now the head of the Phantomhive corporation, handling all business affairs as well as the work as the Queen of England’s guard dog and looking for his parents murders.",2008,Old,0,New,TV-MA,mature,1,0,25,"['scifi', 'animation', 'drama', 'thriller', 'comedy', 'fantasy', 'action', 'horror', 'crime']",['JP'],3,tt1316554,8.2,1877,36.122,7.5
Netflix,0,tm1080083,The Lost Daughter,exclusive,MOVIE,1,A woman's seaside vacation takes a dark turn when her obsession with a young mother forces her to confront secrets from her past.,2021,L10Y,1,New,R,mature,1,0,122,['drama'],"['GR', 'GB', 'US']",,tt9100054,6.7,58882,36.068,6.6
Netflix,0,tm90864,Due Date,exclusive,MOVIE,1,"Peter Highman must scramble across the US in five days to be present for the birth of his first child. He gets off to a bad start when his wallet and luggage are stolen, and put on the 'no-fly' list. Peter embarks on a terrifying journey when he accepts a ride from an actor.",2010,Old,0,New,R,mature,1,0,95,"['comedy', 'drama']",['US'],,tt1231583,6.5,341390,36.06,6.3
HBO Max,1,ts22047,The Wire,exclusive,SHOW,0,"Told from the points of view of both the Baltimore homicide and narcotics detectives and their targets, the series captures a universe in which the national war on drugs has become a permanent, self-sustaining bureaucracy, and distinctions between good and evil are routinely obliterated.",2002,Old,0,New,TV-MA,mature,1,0,59,"['drama', 'thriller', 'crime']",['US'],5,tt0306414,9.3,325150,36.03,8.5
Netflix,0,ts21986,Good Witch,exclusive,SHOW,0,"Cassie Nightingale, Middleton’s favorite enchantress, and her young-teenage daughter Grace, who shares that same special intuition as her mom, welcome Dr. Sam Radford and his son to town. When the New York transplants move in next to the Grey House, they are immediately spellbound by the mother-daughter duo next door, but Sam and Cassie quickly find they may not see eye to eye. With her signature charm, Cassie attempts to bring everyone together, ensuring all of Middleton is in for new changes, big surprises and, of course, a little bit of magic!

""Good Witch” is based on Bell’s beloved character Cassie, the raven-haired enchantress who kept audiences spellbound for seven installments of Hallmark Channel's longest-running and highest-rated original movie franchise of all time.",2015,L10Y,1,New,TV-G,youth,0,0,43,"['scifi', 'fantasy', 'comedy', 'drama']",['US'],7,tt3906732,7.2,10556,35.952,7.7
HBO Max,1,tm137220,Kill Bill: Vol. 1,exclusive,MOVIE,1,"An assassin is shot by her ruthless employer, Bill, and other members of their assassination circle – but she lives to plot her vengeance.",2003,Old,0,New,R,mature,1,0,111,"['crime', 'action', 'drama', 'thriller']",['US'],,tt0266697,8.2,1082449,35.922,8
HBO Max,1,ts224165,Tower of God,exclusive,SHOW,0,"Reach the top, and everything will be yours. At the top of the tower exists everything in this world, and all of it can be yours. You can become a god. This is the story of the beginning and the end of Rachel, the girl who climbed the tower so she could see the stars, and Bam, the boy who needed nothing but her.",2020,L10Y,1,New,TV-14,mature,1,0,23,"['scifi', 'action', 'drama', 'fantasy', 'animation']",['JP'],1,tt12057106,7.7,5237,35.911,8.6
HBO Max,1,ts21804,The O.C.,exclusive,SHOW,0,"Ryan Atwood, a teen from the wrong side of the tracks, moves in with a wealthy family willing to give him a chance. But Ryan's arrival disturbs the status quo of the affluent, privileged community of Newport Beach, California.",2003,Old,0,New,TV-14,mature,1,0,43,"['drama', 'romance', 'comedy']",['US'],4,tt0362359,7.5,87665,35.848,7.8
Netflix,0,ts22286,Cardcaptor Sakura,exclusive,SHOW,0,"Sakura Kinomoto, an elementary school student who discovers that she possesses magical powers after accidentally freeing a set of magical cards from the book they had been sealed in for years. She is then tasked with retrieving those cards in order to avoid an unknown catastrophe from befalling the world.",1998,Old,0,New,TV-Y7,youth,0,0,25,"['scifi', 'animation', 'action', 'comedy', 'drama', 'family', 'fantasy', 'romance']",['JP'],4,tt0221735,8,5008,35.757,8.7
Netflix,0,tm841797,The Ice Road,exclusive,MOVIE,1,"After a remote diamond mine collapses in far northern Canada, an ice road driver must lead an impossible rescue mission over a frozen ocean to save the trapped miners.",2021,L10Y,1,New,PG-13,mature,1,0,109,"['action', 'thriller', 'drama']",['US'],,tt3758814,5.6,38927,35.718,7.009
HBO Max,1,tm11500,A Clockwork Orange,exclusive,MOVIE,1,"In a near-future Britain, young Alexander DeLarge and his pals get their kicks beating and raping anyone they please. When not destroying the lives of others, Alex swoons to the music of Beethoven. The state, eager to crack down on juvenile crime, gives an incarcerated Alex the option to undergo an invasive procedure that'll rob him of all personal agency. In a time when conscience is a commodity, can Alex change his tune?",1971,Old,0,Middle,R,mature,1,0,137,"['drama', 'crime', 'scifi']","['GB', 'US']",,tt0066921,8.3,808912,35.573,8.2
Netflix,0,tm418847,The Silence,exclusive,MOVIE,1,"With the world under attack by deadly creatures who hunt by sound, a teen and her family seek refuge outside the city and encounter a mysterious cult.",2019,L10Y,1,New,PG-13,mature,1,0,90,"['drama', 'thriller', 'fantasy', 'horror', 'scifi', 'european']",['DE'],,tt7315484,5.3,44818,35.51,6.04
Netflix,0,ts34435,Cowboy Bebop,exclusive,SHOW,0,"In 2071, roughly fifty years after an accident with a hyperspace gateway made the Earth almost uninhabitable, humanity has colonized most of the rocky planets and moons of the Solar System. Amid a rising crime rate, the Inter Solar System Police (ISSP) set up a legalized contract system, in which registered bounty hunters (also referred to as ""Cowboys"") chase criminals and bring them in alive in return for a reward.",1998,Old,0,New,TV-14,mature,1,0,25,"['animation', 'action', 'scifi', 'western', 'comedy', 'drama', 'thriller']",['JP'],1,tt0213338,8.9,115448,35.402,8.522
Netflix,0,ts82912,Ratched,exclusive,SHOW,0,"An origins story, beginning in 1947, which follows Ratched's journey and evolution from nurse to full-fledged monster tracking her murderous progression through the mental health care system.",2020,L10Y,1,New,TV-MA,mature,1,0,54,"['drama', 'history', 'thriller', 'crime']",['US'],2,tt7423538,7.2,54291,35.227,7.8
HBO Max,1,tm173459,The Wind Rises,exclusive,MOVIE,1,"A lifelong love of flight inspires Japanese aviation engineer Jiro Horikoshi, whose storied career includes the creation of the A-6M World War II fighter plane.",2013,L10Y,1,New,PG-13,mature,1,0,126,"['drama', 'animation', 'war', 'history', 'romance']",['JP'],,tt2290824,7.7,83012,35.097,7.8
